rating,review,split
1,campus pick associate,train
2,sale client partner,train
2,great company work,train
2,great,train
2,amazon financial analyst intern,train
2,excellent learning experience,train
1,angestellte werden f¹r dumm verkauft,train
2,senior software engineer,train
2,review,train
2,program manager,train
2,good place work,train
1,sr program manager,train
2,genuinely great company,train
2,customer service,train
1,great company benefit emphasis employee,train
2,great place work,train
2,software engineer,train
2,microsoft love let u flexible toward change,train
2,enjoyable work,train
2,awesome experience left cost living insane,train
2,receotiinist,train
2,great place work individual seeking challenging professional environment,train
2,dedicated,train
1,seller support associate,train
1,picker,train
2,amazon,train
1,started good,train
2,changing world,train
2,great benefit good money willing work hard long,train
1,great compensation benefit overall lack career opportunity lack worklife balance,train
2,onsite medical representative,train
2,great learning experience,train
1,much politics,train
2,fashion specialist,train
2,believe job challenging time,train
1,wwdr io app review avoid,train
1,3 year tier 1 review amazon,train
1,meh,train
1,sr program manager,train
2,great work culture,train
2,workplace lot opportunity,train
2,ok,train
1,well benefit ok,train
1,overworked bored,train
1,disappointingly awful,train
2,engineerdriven company looking change world,train
1,fun first promise make come cost,train
2,account executive,train
1,avoid cost workaholic,train
2,great place work people,train
2,program manager,train
2,seller support,train
2,organisation undergoing massive restructure,train
2,operation manager experience,train
1,build resume get kill,train
2,assistant,train
1,bureaucratic behind time,train
1,bittersweet hard maintain work life balance,train
2,amenity amazing work really hard,train
2,specialist,train
1,dont care hard worker,train
1,china stuff,train
2,software engineer,train
2,microsoft,train
2,amazon fulfilment associate,train
1,tough job,train
2,amazon great company work make cut,train
2,transaction risk investigator,train
2,good,train
1,picker,train
1,think,train
2,mieux que la moyenne,train
2,great company,train
1,process assistant,train
1,good people limited career opportunity locally,train
2,awesome,train
1,employeefocused,train
1,sd agent,train
1,unfair company value people work,train
2,positive great benefit grey area far advancement,train
1,discriminated tortured forced resign story kashmiri muslim,train
2,excellent worklife balance,train
1,good place young people join,train
2,business process manager,train
1,customer care representative,train
1,company without real business,train
2,aws,train
2,finding better job,train
2,great experience full growth first 2 year,train
2,good place,train
2,manager,train
2,great benefit gargantuan organization huge opportunity though highly specialized,train
1,assistant,train
2,process heavy amazing,train
1,respect,train
1,micromanagement,train
2,one greatest paying retail job,train
1,picker,train
2,moving speed light burn inevitable,train
1,review,train
1,business finanance manager world wide smsg service,train
1,worst company worked,train
2,treat like family mere worker,train
2,great company work,train
2,warehouse,train
1,procurement manager,train
2,loved looking move,train
2,avie avantage apple,train
1,worth time worst management hr,train
2,great environment grow,train
2,fulfillment center kenoshawi,train
1,benefit need improvement,train
2,humble competetive culture,train
2,amazing experience,train
1,good place temp job forever job,train
1,stupid management topdown,train
1,program manager,train
1,good setup good compensation many frustrating issue deter anyone away job,train
1,tolles unternehmen lokal deutlich ausbaufhige f¹hrungsstruktur,train
2,one best mnc company singapore,train
1,stay away,train
2,retail fun anymore,train
2,journey growth apple,train
1,naja,train
1,associate partner manager uk ok first job,train
2,great place,train
1,review,train
2,customer service associate,train
2,horrible experience,train
1,apple care partner relation,train
1,senior software engineer,train
2,first class employer techsaavy individual like big corporate feel,train
1,used favorite job,train
1,fulfillment associate,train
2,seller suport associate,train
1,meh,train
2,apple retail,train
2,risk analyst,train
1,office politics biased attitude,train
1,recommended,train
1,good year,train
2,work experience,train
2,qae,train
1,hr admin,train
2,engineer,train
1,waste time depression magnet,train
2,curriculum development manager,train
2,sdei persepctive,train
2,extremely physical,train
2,great atmosphere competitive hourly rate great benefit,train
1,terrible expectation employee robot,train
2,great place work contribute learn,train
1,awful everyone company fake,train
1,careful idc merged,train
2,good,train
1,great company first awhile little lifework balance,train
1,high expectation extremely low compensation,train
2,tremendous benefit lack focus,train
2,great place work minor gripe,train
2,great place work,train
1,applecare soulsucking dreadful place,train
2,job alert,train
1,worst,train
1,opinion amazon,train
1,good learning experience,train
1,waste time working amazon,train
2,good,train
2,inbound,train
1,local data,train
1,safety,train
2,good place work,train
1,high speed impersonal,train
2,awesome company,train
2,great store,train
1,fulfillment specialist,train
2,great peer great management,train
1,senior leader problem,train
1,amazon good working surrounding environment good,train
2,pm,train
2,technology solution professional,train
2,gsx project,train
1,ineffective senior management,train
2,rewarding survivor,train
2,family room specialist,train
1,microsoft,train
1,welcome meat grinder join eye open,train
2,great job focus something else,train
1,analyst,train
1,great company terrible management,train
2,avm,train
1,microsoft declining company,train
1,microsoft finance folk,train
2,great culture positive worklife balance,train
1,lot want leave,train
2,associate,train
2,place growth,train
2,great place learn grow,train
2,product design engineer,train
2,inside sale,train
2,great company,train
2,one favorite job,train
1,overrated,train
1,decent year,train
1,tier 111 pa,train
2,campus representative,train
1,horrible,train
1,unrealistic expectation employee,train
2,customer success manager,train
1,workaholic,train
1,warehouse operative worker,train
2,amazon mturk great way earn extra money,train
1,amazon sr technical product manager,train
2,product marketing manager,train
1,truth,train
2,great company work,train
1,arrogante vorgesetzte und vorziehen von,train
2,amazon amazing,train
1,job security unable see light end tunnel,train
2,senior program manager,train
1,horrible job,train
2,worth pay,train
2,team manager,train
2,great company,train
1,good benefit break body,train
1,business sale,train
1,mushroom management philosophy keep dark spread lot manure cut head stick,train
2,program coordinator,train
1,digital csa ork1,train
1,soso,train
2,area manager,train
1,architect manager,train
2,picker,train
2,scarce,train
1,great money abusive work culture,train
1,warehouse associate,train
1,google best place world work engineer,train
2,tier,train
1,place like employee like thrown arena without training integration plan,train
2,innovative customer obsessed,train
1,warehouse fullfillment,train
1,avoid,train
2,great place work develop oneself,train
1,apple experience,train
2,fantastic company work signing job name,train
1,good,train
2,super company,train
2,associate software developer,train
1,ok work meet temporary need,train
2,really enjoy working amazon,train
2,perk cool coworkers better,train
2,great place work like working,train
2,good,train
2,good money,train
1,good people,train
1,amazon,train
2,best company work,train
2,great place work,train
1,focus cost cutting,train
2,good technology,train
2,great company good work life balance,train
1,associate,train
2,virtual program manager,train
2,seller support,train
2,microsoft retail,train
2,great company benefit,train
2,mmr,train
2,good experience,train
1,great opportunity mired corporate politics,train
2,much talent potential lack execution,train
2,working apple,train
1,everybody,train
2,nice workplace nice pupil,train
1,group manager,train
1,decent company work,train
2,good,train
2,mobility hard work fun,train
1,warehouse picker,train
2,afraid hard work amazing place,train
1,good company bad experience,train
2,io motion tester,train
1,good place work unless,train
1,hate paying rent bill,train
2,great challenge great culture,train
1,culture changed,train
2,loved,train
2,methodological innovation fast pace,train
1,packer,train
1,courier,train
1,culture,train
1,good experience vcs worse one discrepancy,train
2,could ask,train
2,good review,train
2,paradise setback,train
1,lack career development topheavy unappreciated,train
2,itunes customer service rep,train
2,software engeener,train
1,make mistake,train
1,good workoholics,train
2,associate,train
2,awesome employee experience,train
2,full time fulfillment associate,train
1,mask design,train
1,aha home advisor,train
1,besides b job,train
1,critical operation manager,train
1,management favourite even subtle,train
1,terrible place work,train
1,job,train
2,best place work,train
2,sde,train
1,careful,train
1,feel,train
2,apple,train
1,great place work,train
1,overworked management,train
1,day little piece soul taken,train
1,amazon much fun,train
1,felt like lied,train
2,good much improvement,train
2,great company,train
2,highly motivated experienced professional strong background training retail experience,train
2,fast paced challenging,train
1,advice stay away unless work manager high level role,train
2,great place high learning curve lot fun,train
2,sde,train
2,microsoft great opportunity need refinement,train
1,unorganized unprofessional understand work life balance,train
2,igtsc good place learn,train
1,nice people,train
1,amazon successful company,train
1,fun stressful environment,train
1,amazon warehouse shuffle,train
2,human resource associate,train
1,senior business manager,train
2,microsoft stack rank system,train
1,amazon,train
1,operation specialist,train
2,netflix product engineering,train
2,internship review,train
1,changing growing pain,train
1,let poor quality midlevel manger,train
2,thought different,train
2,senior lead program manager,train
2,work like use brain,train
1,life within amazon,train
1,picker,train
2,5 year still going,train
1,worst management good newbie seasoned professional favored,train
2,working operation amazon,train
2,excellent place,train
1,love technology peer,train
2,work home,train
2,learn alot proud accomplishment expect make successful,train
2,cautiously optimistic,train
2,ok 2028year old,train
1,good place work management improve hiring process,train
2,slow moving company emphasis building individual brand internally need network,train
2,data entry,train
1,decent,train
2,business development manager,train
2,great place work smart people,train
2,pleasantly surprised,train
2,pick,train
1,support engineer,train
2,google,train
1,intense clture highly competitive often unnecessarily,train
2,great company requiring serious improvement,train
2,great company growing pain,train
2,good,train
2,general,train
1,romance draw woke,train
1,smart kid graveyard,train
2,make impact,train
1,good benefit,train
2,love structure,train
2,intelligent people friendly enviroment,train
1,great company broken building,train
1,program,train
1,easy job get,train
2,lot done right lot done wrong,train
1,horrible working condition,train
1,warehouse associate,train
2,huge company arrogant management,train
1,choose career family life,train
1,packer,train
1,warehouse associate,train
2,immaturely good,train
2,device associate,train
2,great awesome place work,train
2,good place work,train
2,good place work feel well looked get put,train
1,area manager,train
2,awesome place,train
1,good role,train
1,virtual seasonal retail generalistwork home customer service rep,train
2,good company best technology company,train
1,want well expect sweatshop experience sweatshop reward,train
1,amazon outbound pickerseasonal,train
1,amazon,train
2,great colleague environment,train
1,40,train
1,political terrible,train
1,good place college grad,train
2,great terrible,train
1,weak,train
2,good nt tge best,train
2,sale ops,train
1,experience absolutely dreadful,train
1,love hate time,train
2,great company small scope,train
2,amazon,train
1,software development engineer,train
1,terrible place work,train
1,lousy coworkers,train
1,working amazon web service,train
2,good job mind phone,train
1,worth anymore,train
2,google work,train
2,awesome,train
2,great company mostly good,train
1,job make stressed depressed,train
2,sde1,train
1,policy,train
2,great part time job,train
1,group political nontechnical people run show jobdoers sidelined favor networkers,train
2,heaven first,train
1,manager,train
2,culture changing better,train
1,absolute sweatshop degrading uncivilized,train
2,employment best,train
2,sdet ii,train
2,good company work,train
1,company performing trying culture still horrible,train
1,work life balance,train
2,get better,train
2,microsoft,train
1,wish better,train
2,happy amazonian,train
1,overworked jekyll hyde company double standard,train
1,opposite apple aimed,train
1,ecommerce,train
2,operation intern,train
2,mixed,train
1,ups down,train
1,worst company work,train
1,fc associate,train
1,amazon driver 2500 package delivered,train
1,trapped talented,train
2,exciting job,train
2,sde,train
2,qae,train
1,bureaucratic much politics many possibility grow develop,train
2,account technology strategist,train
1,specialist,train
2,great company,train
1,way,train
2,opportunity learning devolopment,train
2,snr product manager iii,train
1,brainless automaton,train
2,good learning experience,train
1,disappointed,train
2,struggling break bureaucracy past,train
1,job,train
2,mac genius,train
1,fresh associate,train
2,marketing,train
1,apple good transition job career,train
2,apple family room specialist,train
2,ok,train
2,messed sleep cycle,train
1,inside sale emea chaos,train
2,work hard blast,train
2,engineer,train
2,google product manager,train
1,apple,train
1,good company get hired senior management,train
1,adventure worth taking,train
1,current employee tech specialist,train
2,dceo,train
1,average,train
1,ok college job great adult job,train
2,exciting overwhelming,train
1,run sociopath,train
1,sorter,train
1,seasonal virtual customer service associate,train
2,great place work,train
1,benefit,train
2,great company,train
2,senior color author associate,train
1,fantastic opportunity want play politics get ahead great fit,train
2,best employer,train
1,mixed bag love hate,train
2,burn,train
1,data science,train
1,exciting,train
1,delivery driver,train
2,2 year amazon france,train
2,great place work definitely get money worth,train
2,smoke mirror,train
1,ok job,train
2,deliver result key success,train
2,sale,train
2,great company work,train
2,quick pro con,train
1,associate slave company,train
2,review,train
1,great place learn burn,train
1,like direction company satya would like see filter middle management,train
1,technician,train
2,lot perk lot work,train
2,great place work,train
2,specialist apple,train
1,beat mcdonalds much,train
2,awesome place work,train
2,great company work,train
2,accounting,train
1,longer good place work even fresh graduate,train
1,great company management listen,train
1,senior subject matter expert,train
2,interesting challenging 7 year,train
2,assist step managment make process flow without interuptions,train
1,specialist,train
1,cr advisor,train
2,sr tpm amazon go,train
2,area manager,train
1,former manager,train
1,company going transition get worse get better,train
2,alright,train
1,microsoft,train
2,future job opportunity,train
1,done never going back,train
2,awesome,train
1,good environment work,train
1,sr hra,train
1,great place work,train
1,microsoft overcompensating diversity,train
1,customer success,train
2,intern,train
1,best place work time,train
2,ok experience amazon unstructured political environment,train
1,better working fast food restaurant,train
1,temporary full time holiday,train
1,100 honest,train
1,pro con,train
1,fresh,train
2,apple experience,train
2,internship,train
2,great,train
1,pm,train
2,looking place ton benefit amazon place,train
2,great working culture,train
2,good comany beginning work,train
1,cna,train
1,amazon inflate number employee le hour work,train
2,best place work,train
1,expected actual job 5 second video show entering company,train
1,faceless banking corporation,train
2,pd engineering apple,train
1,human resource,train
1,bezos care fulfillment center,train
2,enrich life,train
1,hope manager competent,train
1,virtual call center csa,train
2,business development account managersales,train
1,great pay terrible crippling politics,train
1,experience challenging regional management support unwilling support,train
2,love apple currently apple product would like work apple,train
2,bit old fashioned,train
2,amazing opportunity work great talent,train
1,good promise,train
1,sale job,train
1,warehouse worker,train
1,great place work,train
2,sorter control,train
2,group product manager,train
2,great company work r life nothing career married menwomen beware,train
2,always challenging exciting place software developer,train
2,world class education,train
2,lead vendor program,train
1,placesence surveyor,train
1,worst culture full politics,train
1,worklife balance,train
2,amazon review,train
1,customer service,train
2,work play,train
1,company making change better still lot,train
2,solid company lot string,train
1,good till bad,train
1,google map contracting good entry job,train
1,advanceas long bos like,train
2,sr associate vendor manager,train
2,quality manager,train
2,senior software engineer,train
1,microsoft asia,train
1,terrible company treat like scum,train
1,project manager,train
2,worklife balance tricky,train
1,could much better,train
2,good company work,train
1,basic warehouse work picking order stowing inventory,train
2,positive,train
2,great company,train
1,great young gogetter terrible experienced leader type expectation,train
1,senior program manager,train
1,never ever,train
1,beware,train
1,career path great perk,train
2,platform grow career,train
1,amazon picker,train
2,great company great culture,train
2,sale development specialist,train
1,love customer hate working company,train
1,amazon,train
1,getting worse,train
1,many hand pot,train
1,place life,train
2,great work community,train
1,ok work stressful,train
2,exciting good work team work hard,train
2,good place learn,train
1,hr manager,train
1,awful companyworking customer worker,train
2,applecare athome advisor,train
1,quality assurance,train
2,transaction risk investigator,train
1,learn good software engineering practice rethink career,train
2,hard work rewarded recognition,train
2,trend changing mostly good,train
2,long strange trip,train
1,full old guard bad rating scheme,train
2,work hard fun make history,train
2,associate,train
2,enriching,train
2,work life balance,train
2,like working m,train
1,nevetheless,train
1,sortation associate,train
2,happy employee,train
1,leadership,train
2,microsoft great company ballless managersdirectors,train
1,ok,train
1,built expectation nothing,train
1,transaction risk management,train
2,ui developer,train
1,think twice joining,train
1,amazon good bad,train
2,software developer,train
2,specialist,train
2,senior program manager,train
2,transaction risk investigator,train
1,thought would,train
2,experience,train
2,awesome,train
1,warehouse fulfillment outboundinbound,train
2,good part time income,train
1,rdu5 sortation center,train
1,roller coaster,train
2,review unlock stuff,train
1,okay,train
1,shame,train
1,absolutely horrifying experience,train
2,great company work lot flexibility without busy outside schedule highly recommend place,train
1,sr marketing manager,train
2,senior analyst,train
2,creative skilled gifted opportunity prove amazon,train
1,dynamic bust super political b,train
2,apple awesome,train
2,process assistant,train
2,aws great place work everybody,train
1,great christmas money,train
1,like vector cutco,train
1,horrendous,train
1,sale,train
1,marketing manager,train
2,test analyst,train
1,operation pogram manager,train
1,apple retial,train
1,much say,train
1,beware joining acquisition,train
1,underemployed,train
2,good place careful move another state politics change market,train
1,warehouse worker,train
1,avoid scot supply chain optimization technology team,train
2,great career outlook poor worklife balance,train
1,worst place,train
1,work many,train
2,working msft,train
2,group account director,train
1,would recommend job anyone,train
2,international project engineer,train
2,management trainee,train
2,sr engineer scrum master,train
2,product advisorsales,train
2,great place work,train
1,plan stay long term,train
2,great customer good employee,train
1,amazonfresh ord 6 woodaleil location suck,train
1,great,train
2,good,train
2,amazon walk talk,train
1,terriblesoulless company bent replacing everyone machine,train
1,going ehs think twice,train
2,greatest retail experience ever,train
2,best job,train
1,suck,train
2,staff software engineer,train
2,good place learn grow,train
2,capture manager south america,train
2,positive experience,train
2,apple,train
2,amazon,train
2,great company great pay,train
2,genius,train
2,job provide sense purpose,train
1,real operation manager,train
2,se review,train
1,singapore logistics,train
1,icqa,train
2,fr,train
2,warehouse associate,train
2,program manager central recruiting,train
1,make well,train
1,13 year mental torture extremely bad culture manager manipulate manage,train
1,senior advisor,train
1,spcialiste,train
2,content manager,train
1,pyramid scheme sharing,train
2,customer service associate,train
2,operation apple hq,train
1,production associate,train
1,corporate cog,train
1,hard work long hour tiring everyone friendly,train
2,recruiter salary facebook,train
1,seller support associate fr vat support fr esp,train
1,software architect,train
2,work top talent field,train
1,sde,train
2,great company right people,train
2,senior software engineer,train
1,meh,train
1,run bro,train
1,average retail experience,train
1,human resource,train
2,great company difficult make career,train
2,working google,train
2,good opportunity,train
2,overall nice place work settle,train
1,pathetic downright terrible,train
2,software development engineer,train
2,guter arbeitgeber,train
2,amazing place work,train
1,fulfillment associate,train
1,bad management,train
2,awesome,train
2,great place work,train
1,shipping receiving,train
1,far good,train
2,big company lot possibility,train
2,worked,train
1,great place shop good place work fulfilment center,train
1,worst place worked,train
2,drink koolaid,train
1,facility tech,train
2,software engineer,train
2,cloud support engineer cloud support associate alien,train
1,support technician,train
2,great place work,train
2,awesome,train
1,used great mess,train
2,project manager,train
1,started well quickly went downhill fulfillment center,train
2,steep learning curve,train
2,good culture experience,train
1,cloud support engineer glorified call centre name premium support,train
2,microsoft changing,train
2,wharehouse associate,train
1,2 year worth work,train
2,managed customer relationship created requirement worked engineering create spec develop system launch,train
1,company work long term,train
2,company like,train
1,good,train
1,fantastic,train
2,great place good team,train
2,repetitive improvement fixing google map region world,train
1,senior compliance associate,train
1,overall company great management terrible,train
2,place integrity intelligence meet ingenuity creativity make customer 1,train
1,quality assurance engineer,train
2,awesome company work least swe,train
2,process assistant,train
2,great leader,train
1,dark inhuman place work,train
2,applied scientist,train
2,good,train
1,avoid amzl eu,train
2,micromanagement plus limit use skill,train
2,say google,train
1,high pressure call centre,train
1,workhorse,train
2,brand specialist,train
1,recruiting coordinator,train
1,good bad,train
1,product marketing manager,train
1,company simply big provide necessary individual attention career progression,train
1,real apple,train
1,4 yr learned alot business mechanism cost,train
1,warehouse assosicate,train
2,best place work period,train
1,politics valued performance,train
1,avoid like plague window group microsoft idc worst place,train
2,scanner,train
1,work vendor,train
2,job experience,train
1,program manager,train
1,certain type people might succeed,train
2,life amazon,train
2,mba recruiting,train
1,work want kill back,train
2,good company,train
2,closed mindset,train
2,specialist,train
1,friendliest environment,train
1,fastpaced environment,train
1,great company decline,train
1,poor management unclear objective,train
2,people operation,train
1,solid pay 100 number based policy demanding management,train
2,overall good,train
1,pay bill career,train
1,good experience,train
2,excellent employer,train
2,intense learned alot,train
2,good place learn,train
1,tier 2 support,train
1,company one happy,train
2,great place,train
1,alright,train
2,amazon sorting,train
2,depends drive workplace,train
1,good place work learn,train
2,intense,train
2,meh,train
2,warehouse associate,train
2,good advertised,train
1,engineering manager,train
1,slam operator,train
2,great,train
2,working google lifetime experience,train
1,amazon longer teenager oh level approval top heavy management,train
1,sr human resource assistant,train
1,average corporate job,train
1,copywriter,train
2,best employer ever,train
2,senior consultant,train
2,great place work brightest mind around,train
2,positive environment,train
1,misery,train
1,make work overly hard worklife balance,train
2,always something incredibly complex challenging work,train
2,great company,train
1,keep eye open back covered trust one,train
1,delivering stress daily,train
1,fraud analyst,train
2,great employer,train
2,great benefit,train
2,software engineer,train
2,ready fit mold,train
1,dysfunctional company,train
2,great company work,train
2,well run organization,train
1,working trm waste time,train
2,great people great product great philosophy,train
1,app review,train
1,une bonne cole mais,train
1,interesting wear comfortable shoe,train
2,amazon 3,train
1,recommend work amazon spain,train
1,marketplace account manager,train
1,hard warehouse associate,train
2,csc,train
2,customer service specialist,train
1,decent,train
1,security engineer,train
2,executive assistant,train
2,fantastic place around,train
1,hard work physically low pay working hard one thing slave driver,train
1,easy hard time,train
2,pretty good,train
2,vary smart people work environment grind,train
2,marketing,train
2,great place great manager,train
2,pretty awesome company,train
2,move fast,train
2,inclusive culture,train
1,amazon need new leadership hr seattle,train
2,mr,train
2,investigation specialist,train
2,exciting fun,train
1,specialist,train
1,feel stuck,train
1,best place work,train
1,great learning experience drinking firehose,train
2,good company one good soft skill,train
2,mostly great sprinkling bad,train
2,great place work,train
1,microsoft sale environment better wear kevlar vest,train
2,service beo lead review,train
1,summary,train
2,warehouse associate,train
1,dock worker,train
1,app review,train
1,investigation specialist,train
1,support technician,train
1,could worse,train
2,passionate frustration,train
2,work experience,train
1,great place gain industry leading experience ready sacrifice life outside work,train
2,microsoft ru,train
1,fulfillment associate,train
1,good company lot work,train
2,creative job,train
2,fun place work keep nose clean,train
2,engineer,train
1,warehouse,train
2,great company,train
1,quote,train
1,starting point,train
1,ml amazon,train
1,favoritism politics,train
2,great work life balance great comp package,train
1,suck,train
1,would pas could,train
1,going downhill,train
1,marketing tragedy organizational mayhem,train
2,operation manager,train
1,bad culture horrible favoritism,train
2,video editor,train
1,decent,train
1,networking key,train
1,smart capable engineer inexperienced manager,train
1,worst internship ever,train
1,ok company frugal fun,train
2,high expectation,train
1,fullfillment center,train
1,warehouse associate,train
1,slow career bad management,train
2,15 min wage legit amazon,train
1,overworked rushed,train
1,rating,train
2,best place ever worked,train
1,support engineer,train
1,real meat grinder job,train
2,opinion amazon,train
1,fulfillment center,train
1,great place dev terrible place service engineer,train
2,loved lot thing apple end day another retail job,train
2,great company,train
1,worklife balance,train
2,marketing,train
2,part timeseasonal,train
2,team manager,train
2,good learning environment,train
1,stay long,train
2,great opportunity experience college,train
1,poor work life balance,train
1,lack respect employee,train
2,happy,train
2,working software enginneed,train
2,mixed bag depending value,train
1,bad place,train
1,fearbased culture creates professional coward,train
2,software development intern,train
1,job extremely monotonous labor,train
1,bad management,train
1,good place work,train
1,little,train
2,good first job,train
1,think different said,train
1,would recommend,train
1,inside sale worst job ever,train
1,worst employer time,train
1,best worst,train
1,stock member,train
1,company good track however consulting service business unethical,train
2,sale manager shanghai china,train
2,customer business impact world class scale,train
1,get back way let sell,train
1,warehouse,train
1,chaotic culture panic burn,train
2,good personnel management good environment great perk limited ability impact company,train
2,great beginning great end,train
1,decent place,train
1,lost confusion,train
1,definition sociopathic leader,train
1,lot learning also lot politics,train
1,great time,train
1,fog,train
2,good,train
2,nice,train
1,suck,train
2,software engineer microsoft,train
1,care hard working employee,train
1,employee customer jeff,train
1,hr business partner,train
1,bureaucratic nightmare,train
1,prefer specify role,train
1,bad place work,train
1,performance review process,train
2,good job inbetweeners student bored parent,train
2,challenging open shape role,train
2,analyst,train
2,fair job,train
2,best place work,train
2,everyone,train
1,at account technology strategist,train
1,bad programmer,train
1,salary good compare work,train
1,broken management structure,train
2,great small company,train
2,associate,train
2,good perk good eats,train
2,software development engineer test ii,train
2,software engineer,train
1,data associate amazon chennai,train
1,great bad gate nadella,train
1,amazon life,train
2,warehouse worker,train
1,amazon social club,train
2,competitive challenging,train
2,program manager,train
1,big cold silver meat locker,train
2,great,train
1,great benefit treated terrible,train
2,marketing,train
2,housekeeping,train
1,good friend area manangers,train
1,specialist amazon advertising,train
1,horrible management,train
1,right hand know left hand,train
2,come rest vest guess,train
2,logistic specialist,train
1,long hour political,train
2,potential,train
1,robotic,train
1,environmental condition,train
2,warehouse,train
2,company big feel like number,train
1,work home customer service seasonal associate,train
1,senior software engineer,train
2,exciting work always engaging,train
2,customer service associate home,train
1,good,train
1,translation associate,train
1,fun exciting place work early day bureaucratic inefficent bloated company,train
2,sde,train
2,great company,train
1,google enterprise,train
1,apple great company look staff,train
2,great,train
1,burnout city,train
2,awesome place ever work,train
2,balanced,train
1,rating rate,train
2,amazing company,train
2,software engineering internship mountain view,train
2,product design engineer intern,train
1,great team dependent developer,train
2,good company work like working cooperate,train
1,amazon deserve success,train
1,like death march constant conflict crappy benefit amazon,train
1,kindle,train
2,financial analyst,train
2,amazing experience work life balance,train
1,place live life,train
1,erschreckend und unmoralisch,train
2,amazing work amazon,train
2,marketing communication manager,train
1,area manager review,train
2,microsoft,train
1,sortation associate,train
1,okay working,train
2,awesome experience,train
2,right company right team,train
2,retail position,train
1,great company average management,train
2,great work life balance,train
1,monotonous,train
2,good company,train
1,home advisor,train
2,left awesome friend let management,train
1,worst job ever,train
1,better,train
2,senior software engineer,train
2,pressure cooker low level high level,train
1,horrible employer ruin life working,train
2,fulfillment center robbinsville nj,train
2,good place work,train
1,work work fun life,train
2,product manager window,train
1,treated dignity humanity respect,train
2,great place,train
2,scope immense learning,train
2,good atmosphere learn,train
1,life,train
1,interactive designer,train
2,new experience,train
2,time gone,train
2,youtube ad sense,train
1,best worst,train
1,shallow company lost glam running purely brand valuespecific msit,train
2,company transforming,train
1,awful,train
2,athome advisor,train
1,amazon,train
2,microsoft stack ranking,train
1,totally dissatisfied career,train
2,great job,train
2,gm,train
2,always day 1,train
2,fast paced challenging environment,train
2,senior manager,train
2,highly intensive work experience,train
1,amazon,train
2,inbound stower,train
2,good money non career job,train
2,cloud first mobile first,train
2,place shine place crash burn,train
1,software engineer,train
2,overall good experience company 14 year,train
2,reliability engineering mostly good,train
2,startup gone bluechip,train
1,hr,train
2,io techcust sup lvl 3,train
1,horabile place work ever,train
1,apple store,train
1,chronic culture leadership strategy problem outlook unclear,train
1,service worker,train
1,best day behind,train
2,apple mac genius,train
2,innovative company ownership king,train
1,place work care personal life,train
2,review,train
2,picker packer,train
2,world class company product,train
1,glossiest deadend job ever,train
2,great infrastructure people,train
1,pickedpacker,train
2,amazon exciting place work,train
1,hype cultural gig economy structured business,train
1,fulfillment,train
1,virtual customer service,train
1,welcome new ibm,train
1,value,train
1,discriminate older employee,train
