review,rating,split
Disappointing Warehouse Job,negative,train
"Apple Retail is retail 100%, set your expectations accordingly...",negative,train
Program Manager,positive,train
Microsoft SDE,negative,train
Nice place to work,positive,train
High turnover of warehouse associates,negative,train
"Only Hype, maybe it was a good company a few years ago. No longer.",negative,train
Quick Review,positive,train
Working as ML scientist,positive,train
Innovate and interesting,positive,train
The only thing good is the money,negative,train
Success dependent on one's direct manager,negative,train
Looks only good on the resume....,negative,train
Embrace change,positive,train
100% Honest,negative,train
"Great company, terrible company to work for.",negative,train
Good & Bad,negative,train
Account Manager,positive,train
"If it sounds too good to be true, it is.",negative,train
lot's of politics,negative,train
So happy to be working here.,positive,train
Software engineer,positive,train
"Limited career growth, great pay/benefits",negative,train
Great start... Terrible end,negative,train
"worst company,management, full of lies, deception",negative,train
Great place if you like IT,positive,train
Amazon,positive,train
good company,positive,train
Has great benefits,positive,train
"Great Benefits, Terrible Management",negative,train
iOS Senior Advisor T2,positive,train
Being an Amazonian is soooooooo amazing!,positive,train
Chaos to the max!,negative,train
Catalogue manager,negative,train
MS,positive,train
Software Engineer,positive,train
Amazon Logistics Center - Warehouse Operative,negative,train
"Mushroom management philosophy (keep it dark, spread lots of manure, cut off any heads that stick up)",negative,train
It was amazing until it wasn't.,negative,train
great company,positive,train
"Large company, brilliant colleagues, amazing perks.",positive,train
Okay if you need the money,negative,train
Needs a lot of improvement,negative,train
Auditor,positive,train
"Tough environment, shark eats shark",negative,train
Amazon is a great company with a unique culture that I'm glad I have been able to experience.,positive,train
Spent my life at Microsoft,negative,train
Engineer,negative,train
Sp¨¦cialist,positive,train
Amazon Operationd,positive,train
I don't recommend to work @ Amazon in Spain,negative,train
"Many opportunities, but also chaotic.",positive,train
Software Engineer,positive,train
Amazing.,positive,train
Work,positive,train
Stay away from amazon,negative,train
"Decent pay, good location, no complaints",positive,train
Pay and work life balance,negative,train
warehouse packer and problem solver,negative,train
"Pleasent, fun, and demanding.",positive,train
"Waste of time, not worth it..",negative,train
Senior Software Engineer,negative,train
The unending barrage of work and stress are poorly mitigated by one retention method - monetary compensation.,negative,train
Sr Engineer and Scrum Master,positive,train
Go to Redmond if you want to work at Microsoft,negative,train
Netflix CS Amsterdam is the worst place that you can work.,negative,train
It was good until new management and new policies came in.,positive,train
specialist,positive,train
"They take care of you with benefits, discounts, your health, and scheduling.",positive,train
Seems not a long-term company to work at.,negative,train
Wonderful benefits and incredibly talented people,positive,train
"All Talk, No Action",negative,train
Sr Principal Operations Engineering Manager,positive,train
Amazon work experience,negative,train
4 stars,positive,train
"Bad company, never come here",negative,train
Good place but too much work!,negative,train
Sub-Human Vendor,negative,train
Marketing Director,positive,train
"Highly physical, impossible standards, unsafe, treated like a criminal.",negative,train
Great place to work,positive,train
Awesome Place to Work,positive,train
Risk Analyst,positive,train
Program Manager,positive,train
awesome great salary and benefits I just retired yay!!!!!,positive,train
Decent Job,positive,train
"Great culture, awesome benefits, but low pay and growth",positive,train
Apple retail is a good Job for students,negative,train
Great company but has SERIOUS management issues,negative,train
Sales,positive,train
Worst if you want HR,negative,train
Senior Global Marketing Manager,negative,train
One of the best places to work,positive,train
Failure Analysis Engineering or a Joke!,negative,train
transaction risk management services,negative,train
Warehouse Lead/Process Assistant,negative,train
"Great benefits, opportunities but corporate strategy and thus organizational challanges",negative,train
Snake pit!,negative,train
Group Manager,negative,train
Time to Marinate...Not part of any recent RIFs,negative,train
Not too bad,positive,train
UX Designer 2,positive,train
An amazing company to be a part of,positive,train
A good place to stay for a while,positive,train
A terrible company,negative,train
Great company,positive,train
Work hard and improve everyday,positive,train
At Home Advisor,positive,train
Great company to work for,positive,train
PM lead,positive,train
Great company to work for,negative,train
Great benefits & technology . . .,positive,train
Glory days may be over,positive,train
Kindle,negative,train
Microsoft needs to bring the ,positive,train
Shift Manager Amazon Logistics,positive,train
Great place to advance,positive,train
Design,positive,train
Poor Management,negative,train
Great place to work,positive,train
Microsoft culture,positive,train
Customer-centric at the expense of employee-centric,negative,train
"Okay projects, bad work environment, terrible benefits",negative,train
No longer a creative company,negative,train
amazon culture,negative,train
Overall Good,positive,train
Worst Job Ever,negative,train
Expert,negative,train
Pick,positive,train
"It's a great company that takes care of its employee. I work with some very intelligent, educated, and talented people.",positive,train
Best company if you want to make hostoy,positive,train
Having fun working at Microsoft,positive,train
Challenging but not rewarded,negative,train
Excellent to employees,positive,train
At home advisor,positive,train
Process Assistant,positive,train
Bureaucratic nightmare.,negative,train
Sr. Mechanical Engineer,positive,train
Marketplace account manager,negative,train
Difficult work environment,negative,train
Decent if you're ok with all the lifting,positive,train
"Low wages, no work life balance.",positive,train
Customer Service,positive,train
Impressions,positive,train
Operations manager,positive,train
Excellent company to work for,positive,train
Solid Part Time Job,positive,train
Huge company with a lot going on.,positive,train
Amazon is a joke to work for,negative,train
It is what you make of it,negative,train
I Love Microsoft,positive,train
Fulfillment associate,negative,train
Welcome to the Meat Grinder - Join with your eyes open!,negative,train
Warehouse Associate,positive,train
To each his own,negative,train
treat people fairly,negative,train
Great company to work,positive,train
"Super smart people, challenging and interesting work.",positive,train
Awesome place to work when you are ready for a no nonsense place to work the pays accordingly,positive,train
Awful place to work,negative,train
BAIT and Switch--NO Human Resources to contact,negative,train
Amazon fresh side of the house in Bellevue bout to move to kent.,negative,train
Finance Analyst in Slovakia,negative,train
The Retail Side,positive,train
Amazon sucks,negative,train
This used to be a fun place to work,negative,train
It's an IT call center,negative,train
Service Delivery Manager,positive,train
Its a job,negative,train
"If you have kids, or want to have kids someday, look elsewhere.",negative,train
"Great pay, benefits and company to work for",positive,train
Amazon Fashion,negative,train
Exciting and great work place with awesome campus and facilities,positive,train
Plain and simple - work here for a year and then get out!,negative,train
Pure misery - much worse being an associate at a law firm,negative,train
Fulfillment Associate,negative,train
Process Assistant,negative,train
Amazon Web Services,positive,train
Apple culture,positive,train
Associate,negative,train
Very good!,positive,train
Apple Review,positive,train
Amazon,negative,train
It's a job.,negative,train
They care about their people,positive,train
Software Engineer,positive,train
Wasted Potential,negative,train
No Long Term Opportunity,negative,train
Great company to work for,positive,train
"Great warehouse learning environment, and opportunities for advancement",positive,train
Innovative Company,positive,train
Senior Program Manager,positive,train
Overall Rating,positive,train
good job,positive,train
Business evangelist,positive,train
Good place to work,positive,train
Program Manager,negative,train
Assistant Store Manager,negative,train
I didn't like it to much,negative,train
An awesome Work at Home opportunity,positive,train
"Ethic Issues, Discrimination, Policies don't mean anything",negative,train
Cut-throat,negative,train
Good Company but not for everyone,positive,train
Little work/life balance,negative,train
Area Manager Review,negative,train
Entry Level Test Engineer,negative,train
Review,positive,train
Ops Admin,positive,train
Helper,positive,train
Product Manager,positive,train
They Are The Best For A Reason,positive,train
Software Engineer,positive,train
Great company for new grad students.,positive,train
Not worth the pay...,negative,train
Definition of a Sociopathic leader,negative,train
The best company,positive,train
Apple Store,positive,train
A place to move forward in career,positive,train
Manageement,negative,train
Fair pay but the days they give you to work does not match up well with a college schedule,positive,train
"Bait and switch, not the job I was hired for.",negative,train
Analyst,positive,train
"Best work environment, worst medical policy I am associated with Apple full time in Cupertino since March 2015.",negative,train
Microsoft Services,positive,train
"Generally a good company, but watch out for toxic districts",negative,train
Probably stayed too long,positive,train
Apple Retail,positive,train
good but hard to climb past a stage,positive,train
Esoteric.,positive,train
Censorship against conservatives,negative,train
Senior Advisor,positive,train
What a great place to work at,positive,train
Sr. Human Resources assistant,negative,train
Warehouse operative,negative,train
Design Coordinator,positive,train
Working at Apple is like joining a cult,negative,train
"Karen Roberts, Trinny Cortez, Northeast",negative,train
A fun but stressful place to work,positive,train
Microsoft Middle East,negative,train
"Great for your CV, train-wreck for your life and sanity",negative,train
very political retail culture,negative,train
Senior Member of Technical Staff,positive,train
Great culture busy atmosphere,positive,train
Redzone Specialist -Part time,negative,train
Secretive & Pigeonholed Mentality,negative,train
SDE-1,positive,train
You Will Regret Accepting Their Offer,negative,train
"Do not join the recruiting team, the rest of company is pretty good.",negative,train
Seasonal Inbound Stower,negative,train
"Not what I was expecting, great potential if working in another dept",positive,train
"Fulfillment Associate (Full Time, Over 1 Year)",negative,train
Working for a big compay,negative,train
Brand Specialist at Amazon,negative,train
Microsoft VN is just a family company.,negative,train
Great data and advanced technologies,positive,train
Best Company to Work For !!,positive,train
easy but not,negative,train
Best working environment,positive,train
Great place to work,positive,train
pay and benefit was good,positive,train
Where has the time gone?,positive,train
"Work Hard, Play Hard, Lovin' It!",positive,train
Pays the bills but not a career,negative,train
Fulfillment Associate,negative,train
Meh,negative,train
"Retail is rough, but Apple is the best out there",negative,train
Great company,positive,train
Bien pour un ¨¦tudiant,negative,train
Retail Disparity,negative,train
Not all bad,negative,train
Software Development Engineer,positive,train
Hell hole,negative,train
Associate,negative,train
Soul-breaking work culture. Beware! It's definitely not a 'cool' company.,negative,train
Just some stuff about Amazon on my mind when Glassdoor asked,positive,train
Looks great from outside. Timepass from inside,negative,train
The worst company for which I ever worked,negative,train
"Work for Apple, but not through Xerox",negative,train
A Disappointing Place where Bias Still Exists and No true support for those with Disabilities,negative,train
It's okay,positive,train
Glass ceiling irony,negative,train
Don¡¯t do it!,negative,train
Management views technical ICs as worker bees.,negative,train
End of the Google Fairy Tale,negative,train
Great Company,positive,train
"Best company that I've been working, great place to develop your full potencial.",positive,train
Product Advisor,positive,train
Amazon Chennai -SDE intern,positive,train
Business Finanance Manager World Wide SMSG Services,negative,train
A meat grinder with no respect for work/life balance,negative,train
Technical Support,positive,train
Overly strict harsh work environment with low pay,negative,train
Software Developer,negative,train
Highly political atmosphere,negative,train
Category management lead,positive,train
Setup To Fail,negative,train
Dissatisfied,negative,train
culture,negative,train
Warehouse Associate,negative,train
Go-to Market Manager,positive,train
Warehouse Associate,positive,train
Customer support associate,positive,train
Fulfilling career,positive,train
Exceptional company,positive,train
system analytics,positive,train
Customer support associate,positive,train
Microsoft India GTSC,negative,train
GSM,negative,train
"Good benefits, lots of politics",positive,train
Solutions Architect,positive,train
Developer Support Engineer,positive,train
Project Manager,negative,train
Good Place,positive,train
Very fast paced and constantly changing. A world of chaos.,negative,train
Team Manager,positive,train
"Decent Pay, Poor Management",negative,train
associate,negative,train
Burning out the Talent,positive,train
"Loved it, but expected/wanted more",positive,train
Disappointing,negative,train
Amazon: Prime Now,negative,train
Microsoft,positive,train
Multi-National Account Executive,positive,train
It has been unpleasant work environment,negative,train
Horrible management,negative,train
Grout title,positive,train
Paid poorly 2% raise for highest rated work.,negative,train
Business Specialsit,positive,train
Would hire anyone at this point. High turn around,negative,train
Fun for a while but becomes a grind,negative,train
Ok,negative,train
Senior HR Assistant,negative,train
Not recommended,negative,train
"Excellent place to work, tackling growing pains",positive,train
Good but could be better...,positive,train
Area manager,positive,train
engineering intern,positive,train
Technical Account Manager,positive,train
Facilities Technician,positive,train
Web Solutions Engineer,positive,train
"Very intense, good learning environment, but rough personnel methods",positive,train
Great job,positive,train
paid slavery basically,negative,train
"Great company, requires extreme dedication",positive,train
"Speak softly and vigorously search for another job, avoid ONT8",negative,train
Great place to work in,positive,train
Area Maintenance Manager,positive,train
That is Real Funny,negative,train
Software Engineer,positive,train
Pathways Operations Manager,negative,train
Business Manager,positive,train
Supply Chain Execution Manager,positive,train
Process Associate Job at Amazon,positive,train
HWTE - never boring,positive,train
VDS 2,negative,train
Good employee,negative,train
Amazing Company,positive,train
Not so innovate.,negative,train
house of wolves,positive,train
Virtual Customer Service Associate,negative,train
Women: Beware!,negative,train
Solid company with lots of strings,positive,train
Dynamic challenge - be ready to do your part for something big,positive,train
Great,positive,train
Good Company,positive,train
"good money, bad atmosphere",negative,train
software development engineer,negative,train
Great company under the right manager,positive,train
From the viewpoint of a contractor,negative,train
FC associate,negative,train
Sr Director Procurement,positive,train
Senior Content Specialist,positive,train
Meh,positive,train
Great company,positive,train
Please Read This,negative,train
Program Manager,positive,train
Software Engineer,positive,train
manager,positive,train
SSP,negative,train
Excellent employer with a great culture,positive,train
You'll get brainwashed and will be treated like someone with no rights or opinions.,negative,train
sample,negative,train
Full Time Amazon Associate/Problem-Solver,positive,train
Get ready to compete!,positive,train
What a great place to work,positive,train
Warehouse worker,negative,train
reconsider before joining the company,negative,train
Good Job Good Benefits,positive,train
Apple,positive,train
Very fun environment that allows you to be yourself,positive,train
"Great company to settle down , but not for freshers",positive,train
"Haste makes waste, and don't let the door hit you on the ass on your way out.",positive,train
NOT FOR ADHD,positive,train
Awesome work-life balance but employees are not very social,positive,train
It pays the bills,negative,train
Do not work here. You are treated like a number,negative,train
"Microsoft has all the potential to come back, but needs to get figure out what they are",positive,train
It was fair - lots of opportunities to learn - few opportunities to work on interesting projects,negative,train
Ops Admin,negative,train
Individual Contributor/Business Analyst,positive,train
Microsoft Sales Environment - better wear kevlar vest,negative,train
Sales Engineer,positive,train
Manager,positive,train
Pebbles inside jewel box,negative,train
Great Place to Work Learn and Grow,positive,train
research internship,positive,train
Believe the Hype and RUN Away,negative,train
Courier,negative,train
Positive supportive environment (generally),positive,train
Amazing experience,positive,train
"Associate, Ship Dock",positive,train
Evil company run like a criminal gang,negative,train
Great Part Time Job,positive,train
Retail - Not at shiny as the products,negative,train
FC associate,negative,train
I was an Area Manager for 4 years,negative,train
Not enough pay,negative,train
Software,positive,train
Area manager,negative,train
Sr Marketing Manager,negative,train
Customer Service Associate,positive,train
Microsoft senior software engineer salary,positive,train
YYZ4 will not recommend anyone to work here 6pm to 4.30 am,negative,train
Could be Better management,negative,train
Great place to be,positive,train
Sweat Shop,negative,train
Great Company!,positive,train
Great Company - below average Management,negative,train
"Great people, good work life balance, good products.",positive,train
Sortation Associate,negative,train
Greatest place to work,positive,train
Excellent workforce,positive,train
Repetitive ...and very aggrivating,negative,train
Nice company to work,positive,train
For tech it's just ok,positive,train
"A once great company that has lost its way in a sea of politics, destructive stack ranking and micro managed scorecards.",negative,train
You have to be made of steel to work here.,negative,train
nice,positive,train
Amazon Fulfillment,negative,train
Great Company,positive,train
Amazon Fulfillment,positive,train
High Pressure and matrixed org,positive,train
"New warehouse opened in 2012, great GM who is very friendly and resourceful. Most are very grateful to be employed.",positive,train
Program Manager,negative,train
Awful,negative,train
Tech giant unlike any other,positive,train
Service Manager,negative,train
Short Review,positive,train
ANALYTICAL,positive,train
Hr administrator,negative,train
Amazon Web Services Account Manager,positive,train
Current Amazon Employee,positive,train
Store Associate,negative,train
Apple Specialist Experience,positive,train
Good job,positive,train
"¡°Financial safety¡±, in exchange for strange backroom politics, unrealistic senior ¡°expectations¡± and tiny bonuses.",negative,train
Good company - depending on your team.,negative,train
Abused Hunger Games Style Performance Review Every Year,negative,train
Stressful and worked long hours,negative,train
Crazy,negative,train
Problem Solver,negative,train
"Bad managers in SMB, terrible management all around",negative,train
Politics... Politics... Politics...,negative,train
Technical Program Manager,positive,train
Apple makes its money off the back of workers that can barely afford to survive.,negative,train
Seller Support,positive,train
I love my job!,positive,train
very good company,positive,train
Data center,negative,train
Great place to work,positive,train
Great,positive,train
No complaints,positive,train
Recruiting,negative,train
Needs vast improvement in upper management,negative,train
Good gig if you can get it,negative,train
Not the best place to work,negative,train
Customer Oriented,positive,train
"Lots of dull work, No room for advancement",negative,train
Not what I expected,negative,train
"The Best of Times, The Worst of Times",negative,train
Used to be Great - Now a Political Science Academy and PPT OrgChart Creator Paradise,negative,train
"Great people, management and corporate leadership could be better",positive,train
Senior PM,positive,train
Working at Amazon is great only if you are a right fit,negative,train
Stower During Peak Season,negative,train
Sr Program Manager,positive,train
catalog,negative,train
Bangalore IDC in Pathetic shape,negative,train
Amazon is not for everyone.,negative,train
Fullfilment Associate,positive,train
Not Paid Enough,negative,train
Overworked and bored,negative,train
Head of Seller Services,positive,train
not worth it.,negative,train
No work life balance,negative,train
Run screaming away from any Services Job,negative,train
Lucky- if you are in a good team,positive,train
Best paymaster in the market,positive,train
Lots of chances to earn extra money,positive,train
Apple Store MAC Specialist Review,positive,train
Sr. Operations Manager,positive,train
"Great company, needs diversity and inclusion work",positive,train
Packer,positive,train
anonmous,negative,train
Great company and position if you can put in the work,positive,train
Marketing Director,positive,train
Most dysfunctional operation on the planet,negative,train
Great Part-time Retail Job / Great Job starting your career.,positive,train
Amazon brand name and learnings,negative,train
OK,positive,train
Packer,negative,train
Inbound,negative,train
Account Manager AWS,positive,train
Technical Support Engineer,positive,train
Quickly dissatisfied as a 'seasonal associate' temp,negative,train
Program Manager,positive,train
Meh,negative,train
Amazon CR,positive,train
Good,positive,train
Great company to work for,positive,train
Microsoft is a great place to work,positive,train
making progress,positive,train
Supply Chain Analyst,negative,train
deliver result is the key to success here,positive,train
Senior Project Manager,positive,train
not for the future / progressive marketer,positive,train
Part-Time Genius,positive,train
Delivery,positive,train
Associate at Fulfillment Center,negative,train
Worst Place to Work in Design Scaled Service (DSS) Team - Amazon Bangalore,negative,train
Great company,positive,train
Administrative Assistant III,negative,train
Meh Experience,negative,train
The place where you can have opportunities and valuable colleagues.,positive,train
Transportation operation especialist,negative,train
Brand Specialist SVS,positive,train
"Spent too much time in a low value division, couldn't get out.",positive,train
Not for the faint of heart,negative,train
Losing uniqueness,negative,train
THIS PLACE SUCKS,negative,train
Good environment and nice staffs,positive,train
Quantitative Analyst,positive,train
Three years of working for Apple showed me countless ways by which technology can empower people and businesses.,positive,train
Aha,positive,train
No vision can be done,negative,train
Microsoft,negative,train
"Great benefits, hard to make a career",positive,train
Director,negative,train
grueling work,positive,train
Take over your life,negative,train
Good benefits,negative,train
Great company to work for.,positive,train
Global Security,negative,train
Apple is great at making you think you're working for the greatest company ever. But it's hype.,positive,train
A Great Company that can be greater if.......,positive,train
Genius,positive,train
Not a terrible but if you want the pay and benefits,negative,train
It's okay,positive,train
"Ok, experience neutral.",negative,train
If you wanna be happy don't work with Amazon,negative,train
Big company with a lot of possibilities,positive,train
Good company,positive,train
Stay far away from Amazon,negative,train
Software Development Engineer - I,negative,train
"Big, plenty of opportunities to work on projects from Games to Datacenter management",negative,train
Mixed Feelings,negative,train
Marketing in Microsoft,positive,train
Microsoft,positive,train
It looks better in the ads,negative,train
The Apple Store Leader Program,negative,train
My thouggts,negative,train
Systems Monitor/Analyst and Communications Supervisor,positive,train
Eh,negative,train
Great company,positive,train
Genius,positive,train
Amazing Amazon,positive,train
VCM Associate,positive,train
Promising but...,positive,train
Data Scientist,positive,train
Azure Solutions Sales Specialist,positive,train
Bliss,positive,train
Microsoft,positive,train
Good to work over their,positive,train
Horrible,negative,train
Its a good place if you are from non-tech background,positive,train
Area Manager,negative,train
awesome,positive,train
meh,negative,train
Run by sociopaths,negative,train
shipping sorter,positive,train
Good company,positive,train
One of the best place to work. Proven.,positive,train
HR Administrator,negative,train
Apple Store Genius,negative,train
New HR rating system makes it difficult to manage,negative,train
Amazon bwi2,negative,train
Ok experience,positive,train
Program Manager,positive,train
"Be happy with the role your in, or move on.",positive,train
Fulfillment center,positive,train
"Nice company, bad managers",negative,train
Christmas season,negative,train
Redzone Specialist,positive,train
Great,positive,train
Still a joy after over 10 years,positive,train
College grad labor mill. Not for families or those who like happiness.,negative,train
Stow,negative,train
Mixed bag,positive,train
"Just do it. No validation, lack of quality",negative,train
Passed Over For Promo Opportunity,negative,train
Amazon,negative,train
Biggest gap between values and real-life behavior.,negative,train
Genius,negative,train
amazing,positive,train
Apple Miami,positive,train
SDE -- There are better places to work,negative,train
Amazing place to work,positive,train
operations manager,negative,train
Newest goals aren't matched by thinking to deliver,positive,train
Take time to look for team and project that suit you,negative,train
Great benefits and culture,positive,train
Good for fresher level,negative,train
good,positive,train
good,positive,train
Great company to work for,positive,train
Microsoft SDE II,negative,train
-----------------------------------------------,positive,train
I worked at Amazon full-time less than a year,positive,train
Fraud Investigation Specialist,negative,train
Great company care and benefits.,positive,train
Sales Manager,negative,train
sde-2,positive,train
Fun and Great!,positive,train
Its ok not much exciting,negative,train
"Area Manager- Great money, horrible working conditions.",negative,train
"Great Benefits, Terrible Pay Rate",negative,train
No.,negative,train
content developer,positive,train
Toxic company culture,negative,train
Eh it's ok,positive,train
Apple Store: Probably the best experience you can have in the retail,positive,train
God,positive,train
the Best,positive,train
Treated Terribly,negative,train
Great company!,positive,train
"Smart team member , bad management",negative,train
Pretty good,positive,train
Software Engineer,negative,train
Good place,positive,train
Product Specialist,positive,train
SDE,negative,train
Best company in Seattle,positive,train
Unprofessional,negative,train
Violated its own written policy in a way that harmed me.,negative,train
Office Politics are a Nightmare..,negative,train
Director,positive,train
Finance Meat Grinder,positive,train
"It's a fun time, but retail customer service is very taxing, mentally and physically.",positive,train
Business Mantra: Get pressure-cooked work for less salary,negative,train
harx work for little reward,negative,train
Area Manager,positive,train
Amazon,negative,train
Microsoft is great place to work,positive,train
"Great experience, great company, average money",positive,train
Bad job,negative,train
fenomenal talent in a destructive setting,positive,train
Obsessed with growth with no time for their people,negative,train
Pays the bills,negative,train
Highly competitive work place,positive,train
Grunt work.... like a sweat shop.....,negative,train
Review,positive,train
Great company,positive,train
MEH...,negative,train
Back to the Hunger Games,negative,train
Performance,positive,train
Working Retail at Apple is still working Retail - no matter your title.,negative,train
Fulfillment Associate,negative,train
"Incredible opportunities, great people, erratic leadership",negative,train
"Good company, not good management",positive,train
"Not to bad, though could be better.",positive,train
Google - Incapable Indian Management.,negative,train
A good if not great place to work,positive,train
"Chronic culture, leadership, and strategy problems, and outlook is unclear",negative,train
"Stress, long hours, disappointing pay",negative,train
Loving it,positive,train
Seller Support Associate,positive,train
amazon warehouse,negative,train
Good while I was there. It was time to leave,negative,train
Catalog Associate,positive,train
Amazon life,negative,train
SDEI,positive,train
Great benefits but no mobility,negative,train
amazon tracy,negative,train
Apple,positive,train
Onboarding Specialist,negative,train
SRE experience,positive,train
advisor,negative,train
"wild ride, decent pay, demanding standards",positive,train
Glass doors in house of cards,negative,train
Operations manager,negative,train
Fast growing but need more culture building,negative,train
Okay,negative,train
Pending start date,negative,train
Culture was off,negative,train
Senior HRA,negative,train
Not great - Super great on resume though!,negative,train
Google stinks at aqui-hires,negative,train
High stress,negative,train
Business Intelligence and Analytics,negative,train
