review,rating,split
warehouse packer and problem solver,0,train
"Pleasent, fun, and demanding.",1,train
"Waste of time, not worth it..",0,train
Senior Software Engineer,0,train
The unending barrage of work and stress are poorly mitigated by one retention method - monetary compensation.,0,train
Sr Engineer and Scrum Master,1,train
Go to Redmond if you want to work at Microsoft,0,train
Netflix CS Amsterdam is the worst place that you can work.,0,train
It was good until new management and new policies came in.,1,train
specialist,1,train
"They take care of you with benefits, discounts, your health, and scheduling.",1,train
Seems not a long-term company to work at.,0,train
Wonderful benefits and incredibly talented people,1,train
"All Talk, No Action",0,train
Sr Principal Operations Engineering Manager,1,train
Amazon work experience,0,train
4 stars,1,train
"Bad company, never come here",0,train
Good place but too much work!,0,train
Sub-Human Vendor,0,train
Marketing Director,1,train
"Highly physical, impossible standards, unsafe, treated like a criminal.",0,train
Great place to work,1,train
Awesome Place to Work,1,train
Risk Analyst,1,train
Program Manager,1,train
awesome great salary and benefits I just retired yay!!!!!,1,train
Decent Job,1,train
"Great culture, awesome benefits, but low pay and growth",1,train
Apple retail is a good Job for students,0,train
Great company but has SERIOUS management issues,0,train
Sales,1,train
Worst if you want HR,0,train
Senior Global Marketing Manager,0,train
One of the best places to work,1,train
Failure Analysis Engineering or a Joke!,0,train
transaction risk management services,0,train
Warehouse Lead/Process Assistant,0,train
"Great benefits, opportunities but corporate strategy and thus organizational challanges",0,train
Snake pit!,0,train
Group Manager,0,train
Time to Marinate...Not part of any recent RIFs,0,train
Not too bad,1,train
UX Designer 2,1,train
An amazing company to be a part of,1,train
A good place to stay for a while,1,train
A terrible company,0,train
Great company,1,train
Work hard and improve everyday,1,train
At Home Advisor,1,train
Great company to work for,1,train
PM lead,1,train
Great company to work for,0,train
Great benefits & technology . . .,1,train
Glory days may be over,1,train
Kindle,0,train
Microsoft needs to bring the ,1,train
Shift Manager Amazon Logistics,1,train
Great place to advance,1,train
Design,1,train
Poor Management,0,train
Great place to work,1,train
Microsoft culture,1,train
Customer-centric at the expense of employee-centric,0,train
"Okay projects, bad work environment, terrible benefits",0,train
No longer a creative company,0,train
amazon culture,0,train
Overall Good,1,train
Worst Job Ever,0,train
Expert,0,train
Pick,1,train
"It's a great company that takes care of its employee. I work with some very intelligent, educated, and talented people.",1,train
Best company if you want to make hostoy,1,train
Having fun working at Microsoft,1,train
Challenging but not rewarded,0,train
Excellent to employees,1,train
At home advisor,1,train
Process Assistant,1,train
Bureaucratic nightmare.,0,train
Sr. Mechanical Engineer,1,train
Marketplace account manager,0,train
Difficult work environment,0,train
Decent if you're ok with all the lifting,1,train
"Low wages, no work life balance.",1,train
Customer Service,1,train
Impressions,1,train
Operations manager,1,train
Excellent company to work for,1,train
Solid Part Time Job,1,train
Huge company with a lot going on.,1,train
Amazon is a joke to work for,0,train
It is what you make of it,0,train
I Love Microsoft,1,train
Fulfillment associate,0,train
Welcome to the Meat Grinder - Join with your eyes open!,0,train
Warehouse Associate,1,train
To each his own,0,train
treat people fairly,0,train
Great company to work,1,train
"Super smart people, challenging and interesting work.",1,train
Awesome place to work when you are ready for a no nonsense place to work the pays accordingly,1,train
Awful place to work,0,train
BAIT and Switch--NO Human Resources to contact,0,train
Amazon fresh side of the house in Bellevue bout to move to kent.,0,train
Finance Analyst in Slovakia,0,train
The Retail Side,1,train
Amazon sucks,0,train
This used to be a fun place to work,0,train
It's an IT call center,0,train
Service Delivery Manager,1,train
Its a job,0,train
"If you have kids, or want to have kids someday, look elsewhere.",0,train
"Great pay, benefits and company to work for",1,train
Amazon Fashion,0,train
Exciting and great work place with awesome campus and facilities,1,train
Plain and simple - work here for a year and then get out!,0,train
Pure misery - much worse being an associate at a law firm,0,train
Fulfillment Associate,0,train
Process Assistant,0,train
Amazon Web Services,1,train
Apple culture,1,train
Associate,0,train
Very good!,1,train
Apple Review,1,train
Amazon,0,train
It's a job.,0,train
They care about their people,1,train
Software Engineer,1,train
Wasted Potential,0,train
No Long Term Opportunity,0,train
Great company to work for,1,train
"Great warehouse learning environment, and opportunities for advancement",1,train
Innovative Company,1,train
Senior Program Manager,1,train
Overall Rating,1,train
good job,1,train
Business evangelist,1,train
Good place to work,1,train
Program Manager,0,train
Assistant Store Manager,0,train
I didn't like it to much,0,train
An awesome Work at Home opportunity,1,train
"Ethic Issues, Discrimination, Policies don't mean anything",0,train
Cut-throat,0,train
Good Company but not for everyone,1,train
Little work/life balance,0,train
Area Manager Review,0,train
Entry Level Test Engineer,0,train
Review,1,train
Ops Admin,1,train
Helper,1,train
Product Manager,1,train
They Are The Best For A Reason,1,train
Software Engineer,1,train
Great company for new grad students.,1,train
Not worth the pay...,0,train
Definition of a Sociopathic leader,0,train
The best company,1,train
Apple Store,1,train
A place to move forward in career,1,train
Manageement,0,train
Fair pay but the days they give you to work does not match up well with a college schedule,1,train
"Bait and switch, not the job I was hired for.",0,train
Analyst,1,train
"Best work environment, worst medical policy I am associated with Apple full time in Cupertino since March 2015.",0,train
Microsoft Services,1,train
"Generally a good company, but watch out for toxic districts",0,train
Probably stayed too long,1,train
Apple Retail,1,train
good but hard to climb past a stage,1,train
Esoteric.,1,train
Censorship against conservatives,0,train
Senior Advisor,1,train
What a great place to work at,1,train
Sr. Human Resources assistant,0,train
Warehouse operative,0,train
Design Coordinator,1,train
Working at Apple is like joining a cult,0,train
"Karen Roberts, Trinny Cortez, Northeast",0,train
A fun but stressful place to work,1,train
Microsoft Middle East,0,train
"Great for your CV, train-wreck for your life and sanity",0,train
very political retail culture,0,train
Senior Member of Technical Staff,1,train
Great culture busy atmosphere,1,train
Redzone Specialist -Part time,0,train
Secretive & Pigeonholed Mentality,0,train
SDE-1,1,train
You Will Regret Accepting Their Offer,0,train
"Do not join the recruiting team, the rest of company is pretty good.",0,train
Seasonal Inbound Stower,0,train
"Not what I was expecting, great potential if working in another dept",1,train
"Fulfillment Associate (Full Time, Over 1 Year)",0,train
Working for a big compay,0,train
Brand Specialist at Amazon,0,train
Microsoft VN is just a family company.,0,train
Great data and advanced technologies,1,train
Best Company to Work For !!,1,train
easy but not,0,train
Best working environment,1,train
Great place to work,1,train
pay and benefit was good,1,train
Where has the time gone?,1,train
"Work Hard, Play Hard, Lovin' It!",1,train
Pays the bills but not a career,0,train
Fulfillment Associate,0,train
Meh,0,train
"Retail is rough, but Apple is the best out there",0,train
Great company,1,train
Bien pour un ¨¦tudiant,0,train
Retail Disparity,0,train
Not all bad,0,train
Software Development Engineer,1,train
Hell hole,0,train
Associate,0,train
Soul-breaking work culture. Beware! It's definitely not a 'cool' company.,0,train
Just some stuff about Amazon on my mind when Glassdoor asked,1,train
Looks great from outside. Timepass from inside,0,train
The worst company for which I ever worked,0,train
"Work for Apple, but not through Xerox",0,train
A Disappointing Place where Bias Still Exists and No true support for those with Disabilities,0,train
It's okay,1,train
Glass ceiling irony,0,train
Don¡¯t do it!,0,train
Management views technical ICs as worker bees.,0,train
End of the Google Fairy Tale,0,train
Great Company,1,train
"Best company that I've been working, great place to develop your full potencial.",1,train
Product Advisor,1,train
Amazon Chennai -SDE intern,1,train
Business Finanance Manager World Wide SMSG Services,0,train
A meat grinder with no respect for work/life balance,0,train
Technical Support,1,train
Overly strict harsh work environment with low pay,0,train
Software Developer,0,train
Highly political atmosphere,0,train
Category management lead,1,train
Setup To Fail,0,train
Dissatisfied,0,train
culture,0,train
Warehouse Associate,0,train
Go-to Market Manager,1,train
Warehouse Associate,1,train
Customer support associate,1,train
Fulfilling career,1,train
Exceptional company,1,train
system analytics,1,train
Customer support associate,1,train
Microsoft India GTSC,0,train
GSM,0,train
"Good benefits, lots of politics",1,train
Solutions Architect,1,train
Developer Support Engineer,1,train
Project Manager,0,train
Good Place,1,train
Very fast paced and constantly changing. A world of chaos.,0,train
Team Manager,1,train
"Decent Pay, Poor Management",0,train
associate,0,train
Burning out the Talent,1,train
"Loved it, but expected/wanted more",1,train
Disappointing,0,train
Amazon: Prime Now,0,train
Microsoft,1,train
Multi-National Account Executive,1,train
It has been unpleasant work environment,0,train
Horrible management,0,train
Grout title,1,train
Paid poorly 2% raise for highest rated work.,0,train
Business Specialsit,1,train
Would hire anyone at this point. High turn around,0,train
Fun for a while but becomes a grind,0,train
Ok,0,train
Senior HR Assistant,0,train
Not recommended,0,train
"Excellent place to work, tackling growing pains",1,train
Good but could be better...,1,train
Area manager,1,train
engineering intern,1,train
Technical Account Manager,1,train
Facilities Technician,1,train
Web Solutions Engineer,1,train
"Very intense, good learning environment, but rough personnel methods",1,train
Great job,1,train
paid slavery basically,0,train
"Great company, requires extreme dedication",1,train
"Speak softly and vigorously search for another job, avoid ONT8",0,train
Great place to work in,1,train
Area Maintenance Manager,1,train
That is Real Funny,0,train
Software Engineer,1,train
Pathways Operations Manager,0,train
Business Manager,1,train
Supply Chain Execution Manager,1,train
Process Associate Job at Amazon,1,train
HWTE - never boring,1,train
VDS 2,0,train
Good employee,0,train
Amazing Company,1,train
Not so innovate.,0,train
house of wolves,1,train
Virtual Customer Service Associate,0,train
Women: Beware!,0,train
Solid company with lots of strings,1,train
Dynamic challenge - be ready to do your part for something big,1,train
Great,1,train
Good Company,1,train
"good money, bad atmosphere",0,train
software development engineer,0,train
Great company under the right manager,1,train
From the viewpoint of a contractor,0,train
FC associate,0,train
Sr Director Procurement,1,train
Senior Content Specialist,1,train
Meh,1,train
Great company,1,train
Please Read This,0,train
Program Manager,1,train
Software Engineer,1,train
manager,1,train
SSP,0,train
Excellent employer with a great culture,1,train
You'll get brainwashed and will be treated like someone with no rights or opinions.,0,train
sample,0,train
Full Time Amazon Associate/Problem-Solver,1,train
Get ready to compete!,1,train
What a great place to work,1,train
Warehouse worker,0,train
reconsider before joining the company,0,train
Good Job Good Benefits,1,train
Apple,1,train
Very fun environment that allows you to be yourself,1,train
"Great company to settle down , but not for freshers",1,train
"Haste makes waste, and don't let the door hit you on the ass on your way out.",1,train
NOT FOR ADHD,1,train
Awesome work-life balance but employees are not very social,1,train
It pays the bills,0,train
Do not work here. You are treated like a number,0,train
"Microsoft has all the potential to come back, but needs to get figure out what they are",1,train
It was fair - lots of opportunities to learn - few opportunities to work on interesting projects,0,train
Ops Admin,0,train
Individual Contributor/Business Analyst,1,train
Microsoft Sales Environment - better wear kevlar vest,0,train
Sales Engineer,1,train
Manager,1,train
Pebbles inside jewel box,0,train
Great Place to Work Learn and Grow,1,train
research internship,1,train
Believe the Hype and RUN Away,0,train
Courier,0,train
Positive supportive environment (generally),1,train
Amazing experience,1,train
"Associate, Ship Dock",1,train
Evil company run like a criminal gang,0,train
Great Part Time Job,1,train
Retail - Not at shiny as the products,0,train
FC associate,0,train
I was an Area Manager for 4 years,0,train
Not enough pay,0,train
Software,1,train
Area manager,0,train
Sr Marketing Manager,0,train
Customer Service Associate,1,train
Microsoft senior software engineer salary,1,train
YYZ4 will not recommend anyone to work here 6pm to 4.30 am,0,train
Could be Better management,0,train
Great place to be,1,train
Sweat Shop,0,train
Great Company!,1,train
Great Company - below average Management,0,train
"Great people, good work life balance, good products.",1,train
Sortation Associate,0,train
Greatest place to work,1,train
Excellent workforce,1,train
Repetitive ...and very aggrivating,0,train
Nice company to work,1,train
For tech it's just ok,1,train
"A once great company that has lost its way in a sea of politics, destructive stack ranking and micro managed scorecards.",0,train
You have to be made of steel to work here.,0,train
nice,1,train
Amazon Fulfillment,0,train
Great Company,1,train
Amazon Fulfillment,1,train
High Pressure and matrixed org,1,train
"New warehouse opened in 2012, great GM who is very friendly and resourceful. Most are very grateful to be employed.",1,train
Program Manager,0,train
Awful,0,train
Tech giant unlike any other,1,train
Service Manager,0,train
Short Review,1,train
ANALYTICAL,1,train
Hr administrator,0,train
Amazon Web Services Account Manager,1,train
Current Amazon Employee,1,train
Store Associate,0,train
Apple Specialist Experience,1,train
Good job,1,train
"¡°Financial safety¡±, in exchange for strange backroom politics, unrealistic senior ¡°expectations¡± and tiny bonuses.",0,train
Good company - depending on your team.,0,train
Abused Hunger Games Style Performance Review Every Year,0,train
Stressful and worked long hours,0,train
Crazy,0,train
Problem Solver,0,train
"Bad managers in SMB, terrible management all around",0,train
Politics... Politics... Politics...,0,train
Technical Program Manager,1,train
Apple makes its money off the back of workers that can barely afford to survive.,0,train
Seller Support,1,train
I love my job!,1,train
very good company,1,train
Data center,0,train
Great place to work,1,train
Great,1,train
No complaints,1,train
Recruiting,0,train
Needs vast improvement in upper management,0,train
Good gig if you can get it,0,train
Not the best place to work,0,train
Customer Oriented,1,train
"Lots of dull work, No room for advancement",0,train
Not what I expected,0,train
"The Best of Times, The Worst of Times",0,train
Used to be Great - Now a Political Science Academy and PPT OrgChart Creator Paradise,0,train
"Great people, management and corporate leadership could be better",1,train
Senior PM,1,train
Working at Amazon is great only if you are a right fit,0,train
Stower During Peak Season,0,train
Sr Program Manager,1,train
catalog,0,train
Bangalore IDC in Pathetic shape,0,train
Amazon is not for everyone.,0,train
Fullfilment Associate,1,train
Not Paid Enough,0,train
Overworked and bored,0,train
Head of Seller Services,1,train
not worth it.,0,train
No work life balance,0,train
Run screaming away from any Services Job,0,train
Lucky- if you are in a good team,1,train
Best paymaster in the market,1,train
Lots of chances to earn extra money,1,train
Apple Store MAC Specialist Review,1,train
Sr. Operations Manager,1,train
"Great company, needs diversity and inclusion work",1,train
Packer,1,train
anonmous,0,train
Great company and position if you can put in the work,1,train
Marketing Director,1,train
Most dysfunctional operation on the planet,0,train
Great Part-time Retail Job / Great Job starting your career.,1,train
Amazon brand name and learnings,0,train
OK,1,train
Packer,0,train
Inbound,0,train
Account Manager AWS,1,train
Technical Support Engineer,1,train
Quickly dissatisfied as a 'seasonal associate' temp,0,train
Program Manager,1,train
Meh,0,train
Amazon CR,1,train
Good,1,train
Great company to work for,1,train
Microsoft is a great place to work,1,train
making progress,1,train
Supply Chain Analyst,0,train
deliver result is the key to success here,1,train
Senior Project Manager,1,train
not for the future / progressive marketer,1,train
Part-Time Genius,1,train
Delivery,1,train
Associate at Fulfillment Center,0,train
Worst Place to Work in Design Scaled Service (DSS) Team - Amazon Bangalore,0,train
Great company,1,train
Administrative Assistant III,0,train
Meh Experience,0,train
The place where you can have opportunities and valuable colleagues.,1,train
Transportation operation especialist,0,train
Brand Specialist SVS,1,train
"Spent too much time in a low value division, couldn't get out.",1,train
Not for the faint of heart,0,train
Losing uniqueness,0,train
THIS PLACE SUCKS,0,train
Good environment and nice staffs,1,train
Quantitative Analyst,1,train
Three years of working for Apple showed me countless ways by which technology can empower people and businesses.,1,train
Aha,1,train
No vision can be done,0,train
Microsoft,0,train
"Great benefits, hard to make a career",1,train
Director,0,train
grueling work,1,train
Take over your life,0,train
Good benefits,0,train
Great company to work for.,1,train
Global Security,0,train
Apple is great at making you think you're working for the greatest company ever. But it's hype.,1,train
A Great Company that can be greater if.......,1,train
Genius,1,train
Not a terrible but if you want the pay and benefits,0,train
It's okay,1,train
"Ok, experience neutral.",0,train
If you wanna be happy don't work with Amazon,0,train
Big company with a lot of possibilities,1,train
Good company,1,train
Stay far away from Amazon,0,train
Software Development Engineer - I,0,train
"Big, plenty of opportunities to work on projects from Games to Datacenter management",0,train
Mixed Feelings,0,train
Marketing in Microsoft,1,train
Microsoft,1,train
It looks better in the ads,0,train
The Apple Store Leader Program,0,train
My thouggts,0,train
Systems Monitor/Analyst and Communications Supervisor,1,train
Eh,0,train
Great company,1,train
Genius,1,train
Amazing Amazon,1,train
VCM Associate,1,train
Promising but...,1,train
Data Scientist,1,train
Azure Solutions Sales Specialist,1,train
Bliss,1,train
Microsoft,1,train
Good to work over their,1,train
Horrible,0,train
Its a good place if you are from non-tech background,1,train
Area Manager,0,train
awesome,1,train
meh,0,train
Run by sociopaths,0,train
shipping sorter,1,train
Good company,1,train
One of the best place to work. Proven.,1,train
HR Administrator,0,train
Apple Store Genius,0,train
New HR rating system makes it difficult to manage,0,train
Amazon bwi2,0,train
Ok experience,1,train
Program Manager,1,train
"Be happy with the role your in, or move on.",1,train
Fulfillment center,1,train
"Nice company, bad managers",0,train
Christmas season,0,train
Redzone Specialist,1,train
Great,1,train
Still a joy after over 10 years,1,train
College grad labor mill. Not for families or those who like happiness.,0,train
Stow,0,train
Mixed bag,1,train
"Just do it. No validation, lack of quality",0,train
Passed Over For Promo Opportunity,0,train
Amazon,0,train
Biggest gap between values and real-life behavior.,0,train
Genius,0,train
amazing,1,train
Apple Miami,1,train
SDE -- There are better places to work,0,train
Amazing place to work,1,train
operations manager,0,train
Newest goals aren't matched by thinking to deliver,1,train
Take time to look for team and project that suit you,0,train
Great benefits and culture,1,train
Good for fresher level,0,train
good,1,train
good,1,train
Great company to work for,1,train
Microsoft SDE II,0,train
-----------------------------------------------,1,train
I worked at Amazon full-time less than a year,1,train
Fraud Investigation Specialist,0,train
Great company care and benefits.,1,train
Sales Manager,0,train
sde-2,1,train
Fun and Great!,1,train
Its ok not much exciting,0,train
"Area Manager- Great money, horrible working conditions.",0,train
"Great Benefits, Terrible Pay Rate",0,train
No.,0,train
content developer,1,train
Toxic company culture,0,train
Eh it's ok,1,train
Apple Store: Probably the best experience you can have in the retail,1,train
God,1,train
the Best,1,train
Treated Terribly,0,train
Great company!,1,train
"Smart team member , bad management",0,train
Pretty good,1,train
Software Engineer,0,train
Good place,1,train
Product Specialist,1,train
SDE,0,train
Best company in Seattle,1,train
Unprofessional,0,train
Violated its own written policy in a way that harmed me.,0,train
Office Politics are a Nightmare..,0,train
Director,1,train
Finance Meat Grinder,1,train
"It's a fun time, but retail customer service is very taxing, mentally and physically.",1,train
Business Mantra: Get pressure-cooked work for less salary,0,train
harx work for little reward,0,train
Area Manager,1,train
Amazon,0,train
Microsoft is great place to work,1,train
"Great experience, great company, average money",1,train
Bad job,0,train
fenomenal talent in a destructive setting,1,train
Obsessed with growth with no time for their people,0,train
Pays the bills,0,train
Highly competitive work place,1,train
Grunt work.... like a sweat shop.....,0,train
Review,1,train
Great company,1,train
MEH...,0,train
Back to the Hunger Games,0,train
Performance,1,train
Working Retail at Apple is still working Retail - no matter your title.,0,train
Fulfillment Associate,0,train
"Incredible opportunities, great people, erratic leadership",0,train
"Good company, not good management",1,train
"Not to bad, though could be better.",1,train
Google - Incapable Indian Management.,0,train
A good if not great place to work,1,train
"Chronic culture, leadership, and strategy problems, and outlook is unclear",0,train
"Stress, long hours, disappointing pay",0,train
Loving it,1,train
Seller Support Associate,1,train
amazon warehouse,0,train
Good while I was there. It was time to leave,0,train
Catalog Associate,1,train
Amazon life,0,train
SDEI,1,train
Great benefits but no mobility,0,train
amazon tracy,0,train
Apple,1,train
Onboarding Specialist,0,train
SRE experience,1,train
advisor,0,train
"wild ride, decent pay, demanding standards",1,train
Glass doors in house of cards,0,train
Operations manager,0,train
Fast growing but need more culture building,0,train
Okay,0,train
Pending start date,0,train
Culture was off,0,train
Senior HRA,0,train
Not great - Super great on resume though!,0,train
Google stinks at aqui-hires,0,train
High stress,0,train
Business Intelligence and Analytics,0,train
TSC Engagement Sr. Coordinator,0,train
Technical Research Analyst,1,train
"Great place to learn, then move on",0,train
One of the most incisive yet ambiguous learning experiences into human nature and hi-tech.,0,train
Three years in,1,train
Retail-Specialist/Back of House Specialist,1,train
SDE,1,train
Good jobs to work om,1,train
Marketing researcher,1,train
It can be kind. It can be cruel. You just never know what you're going to get each day.,0,train
Culture,0,train
Leaving Microsoft is the best decision I ever made.,0,train
Longest I've been at a company,1,train
Heat,0,train
"Best world class company to work-in, but you should be L4 or above to enjoy the full benefits!!!",1,train
Operations Manager,0,train
Sephora,0,train
Warehouse Associate,1,train
Virtual Seasonal Retail Generalist-Work at Home Customer Service Rep,0,train
Associate,0,train
Stepping Stone,0,train
"The easiest path from point A to B is a straight line. However, at Microsoft...",1,train
Difficult company to contact,0,train
Incredible experience working with incredibly talented people.,1,train
Great company to work for but there is a lot of politics,1,train
SDM,0,train
Amazing Place to Work,1,train
Workforce Analyst,1,train
Keep Climbing,1,train
More Time Politicking less time actually doing your job,0,train
"Good pay, unyielding stress",0,train
"Apple is a great company, but still retail",1,train
Good Ideology - Flawed at Scale,0,train
amazon is deceptive,0,train
Invigorating working environment,1,train
Good company to work for,1,train
not so great - team dependent (developer),0,train
"Great compensation, poor perspectve",1,train
Control System Specialist,0,train
No Learnings and menial work,0,train
Great company to work with,1,train
Fulfillment Associate,0,train
Awesome place to work,1,train
Looks good on the outside....,0,train
Good place to Work,1,train
8 years wasted in a career-less exercise,0,train
Picker,0,train
ASC,0,train
Amazon Costa Rica is no longer a good place to work,0,train
Could be better,1,train
Amazon Area Manager,1,train
Good place to work,1,train
Smart people but lacking strong leadership,1,train
Benefits Reduction,1,train
Party city,0,train
"Horrible, and Don't Let Any Astroturf Amazon People Tell You Different",0,train
